source_file,source_sheet,source_range,source_cell,metric_row,metric_label_source_row,period_header_source_sheet,period_header_source_row,section_name,supplier,metric_name,metric_detail,price_period,time_period,time_period_year,time_period_month,value,formula
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,G3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-01-01 00:00:00,January 2023,2023,1,890,890
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,H3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-02-01 00:00:00,February 2023,2023,2,941.88,941.88
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,I3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-03-01 00:00:00,March 2023,2023,3,965,965
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,J3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-04-01 00:00:00,April 2023,2023,4,980,980
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,K3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-05-01 00:00:00,May 2023,2023,5,1018.75,1018.75
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,L3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-06-01 00:00:00,June 2023,2023,6,938.13,938.13
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,M3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-07-01 00:00:00,July 2023,2023,7,882,882
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,N3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-08-01 00:00:00,August 2023,2023,8,878.75,878.75
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,O3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-09-01 00:00:00,September 2023,2023,9,889,889
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,P3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-10-01 00:00:00,October 2023,2023,10,898.75,898.75
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Q3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-11-01 00:00:00,November 2023,2023,11,875.63,875.63
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,R3,3,3,Índices,2,Atualização,,IHS (M-1),,2023-12-01 00:00:00,December 2023,2023,12,865,865
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,S3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-01-01 00:00:00,January 2024,2024,1,863.13,863.13
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,T3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-02-01 00:00:00,February 2024,2024,2,889.38,889.38
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,U3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-03-01 00:00:00,March 2024,2024,3,906.5,906.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,V3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-04-01 00:00:00,April 2024,2024,4,891.88,891.88
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,W3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-05-01 00:00:00,May 2024,2024,5,898.13,898.13
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,X3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-06-01 00:00:00,June 2024,2024,6,885,885
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Y3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-07-01 00:00:00,July 2024,2024,7,885.63,885.63
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Z3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-08-01 00:00:00,August 2024,2024,8,896.25,896.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AA3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-09-01 00:00:00,September 2024,2024,9,874,874
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AB3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-10-01 00:00:00,October 2024,2024,10,815,815
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AC3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-11-01 00:00:00,November 2024,2024,11,842,842
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AD3,3,3,Índices,2,Atualização,,IHS (M-1),,2024-12-01 00:00:00,December 2024,2024,12,802.5,802.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AE3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-01-01 00:00:00,January 2025,2025,1,791.25,791.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AF3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-02-01 00:00:00,February 2025,2025,2,793.5,793.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AG3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-03-01 00:00:00,March 2025,2025,3,795,795
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AH3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-04-01 00:00:00,April 2025,2025,4,786.25,786.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AI3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-05-01 00:00:00,May 2025,2025,5,745.625,745.625
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AJ3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-06-01 00:00:00,June 2025,2025,6,775,775
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AK3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-07-01 00:00:00,July 2025,2025,7,793.13,793.13
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AL3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-08-01 00:00:00,August 2025,2025,8,781.875,781.875
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AM3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-09-01 00:00:00,September 2025,2025,9,774,774
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AN3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-10-01 00:00:00,October 2025,2025,10,765,765
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AO3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-11-01 00:00:00,November 2025,2025,11,752,752
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AP3,3,3,Índices,2,Atualização,,IHS (M-1),,2025-12-01 00:00:00,December 2025,2025,12,748.75,748.75
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AQ3,3,3,Índices,2,Atualização,,IHS (M-1),,2026-01-01 00:00:00,January 2026,2026,1,756.25,756.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AR3,3,3,Índices,2,Atualização,,IHS (M-1),,2026-02-01 00:00:00,February 2026,2026,2,818.125,818.125
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AS3,3,3,Índices,2,Atualização,,IHS (M-1),,2026-03-01 00:00:00,March 2026,2026,3,838.33,838.33
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AT3,3,3,Índices,2,Atualização,,IHS (M-1),,2026-04-01 00:00:00,April 2026,2026,4,1111.25,1111.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,D4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2022-10-01 00:00:00,October 2022,2022,10,4550,4550
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,E4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2022-11-01 00:00:00,November 2022,2022,11,4750,4750
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,F4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2022-12-01 00:00:00,December 2022,2022,12,4850,4850
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,G4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-01-01 00:00:00,January 2023,2023,1,4850,4850
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,H4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-02-01 00:00:00,February 2023,2023,2,4600,4600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,I4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-03-01 00:00:00,March 2023,2023,3,4400,4400
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,J4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-04-01 00:00:00,April 2023,2023,4,4100,4100
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,K4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-05-01 00:00:00,May 2023,2023,5,3900,3900
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,L4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-06-01 00:00:00,June 2023,2023,6,3750,3750
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,M4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-07-01 00:00:00,July 2023,2023,7,4000,4000
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,N4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-08-01 00:00:00,August 2023,2023,8,3800,3800
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,O4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-09-01 00:00:00,September 2023,2023,9,3500,3500
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,P4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-10-01 00:00:00,October 2023,2023,10,3400,3400
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Q4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-11-01 00:00:00,November 2023,2023,11,3450,3450
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,R4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2023-12-01 00:00:00,December 2023,2023,12,3500,3500
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,S4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-01-01 00:00:00,January 2024,2024,1,3600,3600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,T4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-02-01 00:00:00,February 2024,2024,2,3600,3600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,U4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-03-01 00:00:00,March 2024,2024,3,3650,3650
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,V4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-04-01 00:00:00,April 2024,2024,4,3700,3700
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,W4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-05-01 00:00:00,May 2024,2024,5,3750,3750
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,X4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-06-01 00:00:00,June 2024,2024,6,3950,3950
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Y4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-07-01 00:00:00,July 2024,2024,7,4350,4350
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Z4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-08-01 00:00:00,August 2024,2024,8,4750,4750
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AA4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-09-01 00:00:00,September 2024,2024,9,5150,5150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AB4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-10-01 00:00:00,October 2024,2024,10,5500,5500
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AC4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-11-01 00:00:00,November 2024,2024,11,6150,6150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AD4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2024-12-01 00:00:00,December 2024,2024,12,6150,6150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AE4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-01-01 00:00:00,January 2025,2025,1,6200,6200
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AF4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-02-01 00:00:00,February 2025,2025,2,6300,6300
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AG4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-03-01 00:00:00,March 2025,2025,3,6300,6300
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AH4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-04-01 00:00:00,April 2025,2025,4,6150,6150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AI4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-05-01 00:00:00,May 2025,2025,5,5600,5600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AJ4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-06-01 00:00:00,June 2025,2025,6,5150,5150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AK4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-07-01 00:00:00,July 2025,2025,7,5000,5000
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AL4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-08-01 00:00:00,August 2025,2025,8,5000,5000
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AM4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-09-01 00:00:00,September 2025,2025,9,5050,5050
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AN4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-10-01 00:00:00,October 2025,2025,10,5150,5150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AO4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-11-01 00:00:00,November 2025,2025,11,5100,5100
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AP4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-12-01 00:00:00,December 2025,2025,12,5050,5050
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AQ4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-01-01 00:00:00,January 2026,2026,1,4900,4900
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AR4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-02-01 00:00:00,February 2026,2026,2,4600,4600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AS4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-03-01 00:00:00,March 2026,2026,3,4050,4050
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AT4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-04-01 00:00:00,April 2026,2026,4,4100,4100
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,G5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-01-01 00:00:00,January 2023,2023,1,5.2424,5.2424
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,H5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-02-01 00:00:00,February 2023,2023,2,5.2007,5.2007
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,I5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-03-01 00:00:00,March 2023,2023,3,5.1717,5.1717
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,J5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-04-01 00:00:00,April 2023,2023,4,5.2115,5.2115
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,K5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-05-01 00:00:00,May 2023,2023,5,5.0197,5.0197
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,L5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-06-01 00:00:00,June 2023,2023,6,4.9828,4.9828
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,M5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-07-01 00:00:00,July 2023,2023,7,4.8516,4.8516
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,N5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-08-01 00:00:00,August 2023,2023,8,4.8008,4.8008
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,O5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-09-01 00:00:00,September 2023,2023,9,4.9035,4.9035
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,P5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-10-01 00:00:00,October 2023,2023,10,4.93699,4.93699
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Q5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-11-01 00:00:00,November 2023,2023,11,5.0648,5.0648
